Estado,Percentual de Alta Exposição (%)
AC,24.102722772277225
AL,11.027332704995288
AM,13.93317318191745
AP,10.874200426439232
BA,11.832342604243502
CE,12.305244678516567
DF,10.877636310622997
ES,15.46608683453742
GO,20.280219535049756
IGNORADO,5.352112676056338
MA,13.92769696096788
MG,21.74495744823427
MS,17.122762148337596
MT,19.146531015967216
PA,15.297895112379592
PB,11.793991416309012
PE,14.54875077899269
PI,18.724364232977848
PR,24.054670515699065
RJ,17.239494867439628
RN,13.226978998384492
RO,24.835411122005883
RR,8.60215053763441
RS,19.502112974958017
SC,26.2121069478441
SE,18.82433668801464
SP,27.276898738398412
TO,11.318242343541945
