Gradiente;Código CBO;Título da Família Ocupacional;Correlato ISCO-08;codigo_cbo_4;total_vinculos_ativos
Gradiente 4;4110;Agentes, assistentes e auxiliares administrativos;4110 - General Office Clerks / 4419;4110;4762237
Gradiente 1;5211;Caixas, bilheteiros e Operadores do comércio (Balconistas);5230 / 5223 - Cashiers / Shop Sales Assistants;5211;4299964
0;5143;;;5143;2584166
0;7842;;;7842;1347462
0;4141;;;4141;1282761
0;7825;;;7825;1259406
0;3222;;;3222;1202811
0;5174;;;5174;1183918
0;2312;;;2312;1102968
Gradiente 1;4211;Caixas, bilheteiros e Operadores do comércio (Balconistas);5230 / 5223 - Cashiers / Shop Sales Assistants;4211;1086837
0;3312;;;3312;1012985
0;5134;;;5134;883762
0;5142;;;5142;838564
Gradiente 3;4221;Recepcionistas em geral e Operadores de telefonia;4226 / 4223 - Receptionists / Switchboard Ops;4221;837693
0;5173;;;5173;785821
0;7170;;;7170;714185
0;7832;;;7832;697856
0;1114;;;1114;691063
Gradiente 2;1423;Diretores e Gerentes de comercialização e marketing;1221 - Sales and Marketing Managers;1423;636425
0;5132;;;5132;631322
0;5135;;;5135;557111
0;3311;;;3311;532712
Gradiente 1;7823;Motoristas de veículos de pequeno e médio porte (Táxi);8322 - Car, Taxi and Van Drivers;7823;531451
Gradiente 2;4101;Supervisores administrativos e de serviços financeiros;3341 - Office Supervisors;4101;513572
Gradiente 2;3541;Técnicos de vendas especializadas e Rep. comerciais autônomos;3322 - Commercial Sales Representatives;3541;489243
Gradiente 4;2124;Analistas de Tecnologia da Informação (Web e Multimídia);2513 - Web and Multimedia Developers;2124;472492
0;2235;;;2235;466430
0;2321;;;2321;466014
0;8485;;;8485;464409
Gradiente 4;4223;Operadores de telemarketing (Ativo, receptivo e técnico);5244 - Contact Centre Salespersons;4223;462686
0;1421;;;1421;460858
0;7152;;;7152;453709
0;5151;;;5151;413782
0;6210;;;6210;382447
0;7824;;;7824;377086
0;2345;;;2345;356058
0;5141;;;5141;345957
Gradiente 2;2521;Administradores e Profissionais de recursos humanos;2421 / 2423 - Management Analysts / HR Profs.;2521;345947
Gradiente 4;4131;Auxiliares de contabilidade, folha de pagamento e faturamento;4311 - Accounting Clerks / 4313;4131;319518
0;1031;;;1031;306265
Gradiente 1;2394;Programadores, avaliadores e orientadores de ensino;2351 - Education Methods Specialists;2394;304486
0;9144;;;9144;301151
0;2313;;;2313;291481
0;6410;;;6410;290778
Gradiente 3;4132;Escriturários de serviços bancários (Caixas, compensadores);4211 - Bank Tellers and Related Clerks;4132;286405
0;2311;;;2311;285024
0;6220;;;6220;281812
Gradiente 2;4142;Apontadores e conferentes;4322 - Production Clerks;4142;264418
Gradiente 2;3912;Técnicos de planejamento e controle da produção;4322 - Production Clerks;3912;263146
0;8621;;;8621;262101
0;3341;;;3341;256919
0;7632;;;7632;249219
Gradiente 2;1414;Diretores e Gerentes de operações comerciais (Varejo/Atacado);1420 - Retail and Wholesale Trade Managers;1414;248600
0;7841;;;7841;245408
0;9113;;;9113;244628
0;2251;;;2251;243512
0;7243;;;7243;229386
0;7151;;;7151;216613
Gradiente 3;3514;Serventuários da justiça e afins;3342 - Legal Secretaries;3514;209437
0;7822;;;7822;207106
Gradiente 2;3911;Técnicos de planejamento e controle da produção;4322 - Production Clerks;3911;202061
Gradiente 3;2522;Economistas, Contadores, Auditores e Peritos contábeis;2631 / 2411 - Economists / Accountants;2522;199268
0;8483;;;8483;196902
0;2234;;;2234;196552
Gradiente 3;2523;Secretárias executivas e bilíngues;3343 - Administrative and Exec. Secretaries;2523;193083
0;5172;;;5172;190117
Gradiente 2;5201;Supervisores de vendas e de prestação de serviços;3322 - Commercial Sales Representatives;5201;172554
0;7321;;;7321;168059
0;7212;;;7212;167723
0;7155;;;7155;162111
0;5191;;;5191;159305
0;7156;;;7156;156317
0;5199;;;5199;152427
0;9922;;;9922;150061
0;7244;;;7244;147433
0;5162;;;5162;141553
0;6221;;;6221;138198
0;7102;;;7102;136484
Gradiente 2;2524;Administradores e Profissionais de recursos humanos;2421 / 2423 - Management Analysts / HR Profs.;2524;136032
0;7311;;;7311;130819
0;3132;;;3132;129186
0;3516;;;3516;128664
0;2121;;;2121;128262
0;3224;;;3224;128159
0;2410;;;2410;128158
Gradiente 4;2525;Profissionais de administração econômico-financeira;2413 - Financial Analysts;2525;128135
0;3522;;;3522;125181
0;3331;;;3331;125160
Gradiente 2;4102;Supervisores administrativos e de serviços financeiros;3341 - Office Supervisors;4102;123817
0;7242;;;7242;122091
0;6231;;;6231;121431
0;3131;;;3131;121245
0;2120;;;2120;119607
Gradiente 2;3172;Operadores de monitoração de computadores (Helpdesk);3512 - ICT User Support Technicians;3172;119154
0;5152;;;5152;112256
0;9511;;;9511;111743
Gradiente 3;2111;Profissionais da matemática, atuários e estatísticos;2120 - Mathematicians, Actuaries and Statisticians;2111;111266
0;2532;;;2532;110411
0;2516;;;2516;109136
0;5153;;;5153;108885
0;3542;;;3542;108162
Gradiente 2;3421;Especialistas em logística de transportes;4323 - Transport Clerks;3421;107153
0;5133;;;5133;105975
Gradiente 1;4122;Contínuos (Office-boys / Mensageiros);9621 - Messengers, Package Deliverers;4122;105683
0;7241;;;7241;102471
Gradiente 3;3171;Técnicos de desenvolvimento de sistemas e aplicações;2514 / 3514 - App Programmers / Web Techs;3171;102240
0;7631;;;7631;100232
0;2241;;;2241;100123
Gradiente 1;2515;Psicólogos e psicanalistas;2634 - Psychologists;2515;100098
0;1412;;;1412;92726
0;7166;;;7166;91958
Gradiente 2;4201;Supervisores de atendimento ao público e de pesquisa;4229 - Client Information Workers NEC;4201;91925
0;5112;;;5112;91519
0;2236;;;2236;90993
0;8117;;;8117;90726
0;7640;;;7640;88480
0;6225;;;6225;88178
0;7233;;;7233;86450
0;5163;;;5163;85478
Gradiente 2;4213;Cobradores e afins;4214 - Debt Collectors and Related Workers;4213;85380
0;7711;;;7711;85014
Gradiente 2;1425;Diretores e Gerentes de serviços de informática;1330 - ICT Service Managers;1425;83233
0;3141;;;3141;82582
Gradiente 1;1415;Dir. e Gerentes de op. em empresas de turismo/hotelaria;1411 - Hotel Managers;1415;82220
0;8131;;;8131;80829
0;3241;;;3241;76562
0;2142;;;2142;74773
0;1030;;;1030;73706
0;2232;;;2232;72568
Gradiente 2;4152;Carteiros e operadores de triagem de serviços postais;4412 - Mail Carriers and Sorting Clerks;4152;71809
0;7153;;;7153;71189
0;3121;;;3121;70537
0;7741;;;7741;69752
0;5136;;;5136;68635
0;1231;;;1231;68404
0;6233;;;6233;68230
0;8414;;;8414;68135
0;2237;;;2237;66987
0;2392;;;2392;66899
0;3133;;;3133;65568
0;3714;;;3714;63839
0;2331;;;2331;63834
Gradiente 3;2512;Economistas, Contadores, Auditores e Peritos contábeis;2631 / 2411 - Economists / Accountants;2512;62953
0;3242;;;3242;62784
0;2346;;;2346;62142
