Gradiente;Código CBO;Título da Família Ocupacional;Correlato ISCO-08;codigo_cbo_4;total_vinculos_ativos
Gradiente 3;4132;Escriturários de serviços bancários (Caixas, compensadores);4211 - Bank Tellers and Related Clerks;4132;259247
Gradiente 4;4110;Agentes, assistentes e auxiliares administrativos;4110 - General Office Clerks / 4419;4110;91884
0;2532;;;2532;86997
Gradiente 2;1423;Diretores e Gerentes de comercialização e marketing;1221 - Sales and Marketing Managers;1423;55763
Gradiente 4;2525;Profissionais de administração econômico-financeira;2413 - Financial Analysts;2525;49346
Gradiente 4;2124;Analistas de Tecnologia da Informação (Web e Multimídia);2513 - Web and Multimedia Developers;2124;41361
0;1421;;;1421;40388
Gradiente 2;1417;Diretores e Gerentes em instituições de interm. financeira;1346 - Financial and Insurance Branch Managers;1417;29793
Gradiente 2;2521;Administradores e Profissionais de recursos humanos;2421 / 2423 - Management Analysts / HR Profs.;2521;22729
Gradiente 2;3541;Técnicos de vendas especializadas e Rep. comerciais autônomos;3322 - Commercial Sales Representatives;3541;17747
Gradiente 3;3517;Técnicos e Corretores de seguros;3321 - Insurance Representatives;3517;15630
Gradiente 2;4101;Supervisores administrativos e de serviços financeiros;3341 - Office Supervisors;4101;12993
Gradiente 1;5211;Caixas, bilheteiros e Operadores do comércio (Balconistas);5230 / 5223 - Cashiers / Shop Sales Assistants;5211;10407
Gradiente 3;2522;Economistas, Contadores, Auditores e Peritos contábeis;2631 / 2411 - Economists / Accountants;2522;9042
0;2410;;;2410;7254
Gradiente 2;2524;Administradores e Profissionais de recursos humanos;2421 / 2423 - Management Analysts / HR Profs.;2524;7210
Gradiente 2;1425;Diretores e Gerentes de serviços de informática;1330 - ICT Service Managers;1425;6636
0;5143;;;5143;6552
Gradiente 4;3532;Técnicos em operações e serviços bancários;3311 - Securities and Finance Dealers;3532;6375
Gradiente 4;4223;Operadores de telemarketing (Ativo, receptivo e técnico);5244 - Contact Centre Salespersons;4223;5494
Gradiente 2;5201;Supervisores de vendas e de prestação de serviços;3322 - Commercial Sales Representatives;5201;5204
Gradiente 2;5241;Vendedores em domicílio;5243 - Door-to-door Salespersons;5241;5203
Gradiente 4;4131;Auxiliares de contabilidade, folha de pagamento e faturamento;4311 - Accounting Clerks / 4313;4131;4265
Gradiente 2;4102;Supervisores administrativos e de serviços financeiros;3341 - Office Supervisors;4102;3776
Gradiente 3;3171;Técnicos de desenvolvimento de sistemas e aplicações;2514 / 3514 - App Programmers / Web Techs;3171;3620
Gradiente 3;2512;Economistas, Contadores, Auditores e Peritos contábeis;2631 / 2411 - Economists / Accountants;2512;3595
Gradiente 3;2123;Engenheiros de computação e Administradores de TI;2512 / 2521 - Software Developers / DB Admins;2123;3554
0;1231;;;1231;3347
Gradiente 3;2523;Secretárias executivas e bilíngues;3343 - Administrative and Exec. Secretaries;2523;3231
0;2533;;;2533;3015
Gradiente 2;4213;Cobradores e afins;4214 - Debt Collectors and Related Workers;4213;2790
Gradiente 3;2122;Engenheiros de computação e Administradores de TI;2512 / 2521 - Software Developers / DB Admins;2122;2762
Gradiente 3;4221;Recepcionistas em geral e Operadores de telefonia;4226 / 4223 - Receptionists / Switchboard Ops;4221;2583
0;1422;;;1422;2176
0;2142;;;2142;2163
0;3542;;;3542;2103
Gradiente 2;4201;Supervisores de atendimento ao público e de pesquisa;4229 - Client Information Workers NEC;4201;2007
Gradiente 1;4211;Caixas, bilheteiros e Operadores do comércio (Balconistas);5230 / 5223 - Cashiers / Shop Sales Assistants;4211;1771
Gradiente 3;2111;Profissionais da matemática, atuários e estatísticos;2120 - Mathematicians, Actuaries and Statisticians;2111;1733
Gradiente 3;3514;Serventuários da justiça e afins;3342 - Legal Secretaries;3514;1648
Gradiente 2;3172;Operadores de monitoração de computadores (Helpdesk);3512 - ICT User Support Technicians;3172;1632
0;1210;;;1210;1570
Gradiente 3;3545;Técnicos e Corretores de seguros;3321 - Insurance Representatives;3545;1511
0;7170;;;7170;1389
Gradiente 2;1227;Diretores e Gerentes em instituições de interm. financeira;1346 - Financial and Insurance Branch Managers;1227;1362
0;5174;;;5174;1345
0;1426;;;1426;1333
0;2032;;;2032;1328
Gradiente 1;7823;Motoristas de veículos de pequeno e médio porte (Táxi);8322 - Car, Taxi and Van Drivers;7823;1296
Gradiente 2;1233;Diretores e Gerentes de comercialização e marketing;1221 - Sales and Marketing Managers;1233;1173
0;3144;;;3144;1102
Gradiente 2;2624;Artistas visuais e desenhistas industriais (Designers);2166 - Graphic and Multimedia Designers;2624;1073
0;2527;;;2527;1047
Gradiente 2;3912;Técnicos de planejamento e controle da produção;4322 - Production Clerks;3912;1010
0;5134;;;5134;986
0;1115;;;1115;974
0;7152;;;7152;961
0;7825;;;7825;924
