sigla_uf;Gradiente;total_vinculos_ativos;total_do_estado;percentual_no_estado (%)
AC;Gradiente 1;30156;82076;36.74155660607242
AC;Gradiente 2;15153;82076;18.46215702519616
AC;Gradiente 3;8123;82076;9.896924801403577
AC;Gradiente 4;28644;82076;34.899361567327844
AL;Gradiente 1;114102;297813;38.313303986058365
AL;Gradiente 2;42633;297813;14.315358966868471
AL;Gradiente 3;27770;297813;9.32464331644354
AL;Gradiente 4;113308;297813;38.04669373062962
AM;Gradiente 1;127148;356786;35.63704853890007
AM;Gradiente 2;76699;356786;21.497200002242238
AM;Gradiente 3;35147;356786;9.851003122319822
AM;Gradiente 4;117792;356786;33.01474833653787
AP;Gradiente 1;30242;72739;41.57604586260465
AP;Gradiente 2;12508;72739;17.195727188990777
AP;Gradiente 3;8728;72739;11.999065150744443
AP;Gradiente 4;21261;72739;29.229161797660126
BA;Gradiente 1;513615;1308939;39.239032529399765
BA;Gradiente 2;222008;1308939;16.96091261701271
BA;Gradiente 3;151776;1308939;11.595345543222411
BA;Gradiente 4;421540;1308939;32.20470931036512
CE;Gradiente 1;331588;938526;35.330720725904236
CE;Gradiente 2;193390;938526;20.605715771326526
CE;Gradiente 3;96292;938526;10.259918212175261
CE;Gradiente 4;317256;938526;33.80364529059398
DF;Gradiente 1;226168;780941;28.960958638360644
DF;Gradiente 2;138858;780941;17.78085668443583
DF;Gradiente 3;146559;780941;18.76697471383882
DF;Gradiente 4;269356;780941;34.49120996336471
ES;Gradiente 1;238108;579008;41.1234387089643
ES;Gradiente 2;112994;579008;19.515101691168343
ES;Gradiente 3;58772;579008;10.150464242290262
ES;Gradiente 4;169134;579008;29.210995357577097
GO;Gradiente 1;394595;1044185;37.78975947748723
GO;Gradiente 2;185322;1044185;17.74800442450332
GO;Gradiente 3;106694;1044185;10.217921153818528
GO;Gradiente 4;357574;1044185;34.244314944190926
IGNORADO;Gradiente 1;3521;6746;52.193892677142
IGNORADO;Gradiente 2;1043;6746;15.461013934183221
IGNORADO;Gradiente 3;748;6746;11.088052179069079
IGNORADO;Gradiente 4;1434;6746;21.257041209605692
MA;Gradiente 1;173452;442777;39.173669815731174
MA;Gradiente 2;74902;442777;16.91641616434458
MA;Gradiente 3;40549;442777;9.157883087874936
