sigla_uf;Gradiente;total_vinculos_ativos;total_do_estado;percentual_no_estado (%)
AC;0;1365;3232;42.23391089108911
AC;Gradiente 1;122;3232;3.7747524752475248
AC;Gradiente 2;200;3232;6.188118811881188
AC;Gradiente 3;766;3232;23.700495049504948
AC;Gradiente 4;779;3232;24.102722772277225
AL;0;1011;4244;23.82186616399623
AL;Gradiente 1;84;4244;1.9792648444863337
AL;Gradiente 2;426;4244;10.037700282752121
AL;Gradiente 3;2255;4244;53.13383600377003
AL;Gradiente 4;468;4244;11.027332704995288
AM;0;1124;4579;24.5468442891461
AM;Gradiente 1;124;4579;2.7080148504040182
AM;Gradiente 2;723;4579;15.789473684210526
AM;Gradiente 3;1970;4579;43.022493994321906
AM;Gradiente 4;638;4579;13.93317318191745
AP;0;187;938;19.936034115138593
AP;Gradiente 1;19;938;2.025586353944563
AP;Gradiente 2;116;938;12.366737739872068
AP;Gradiente 3;514;938;54.79744136460555
AP;Gradiente 4;102;938;10.874200426439232
BA;0;4994;23047;21.668763830433463
BA;Gradiente 1;565;23047;2.4515121273918514
BA;Gradiente 2;3442;23047;14.934698659261509
BA;Gradiente 3;11319;23047;49.11268277866967
BA;Gradiente 4;2727;23047;11.832342604243502
CE;0;3207;18228;17.59381171823568
CE;Gradiente 1;650;18228;3.565942506034672
CE;Gradiente 2;2368;18228;12.991002852754004
CE;Gradiente 3;9760;18228;53.543998244459075
CE;Gradiente 4;2243;18228;12.305244678516567
DF;0;3781;51445;7.349596656623579
DF;Gradiente 1;500;51445;0.9719117504130625
DF;Gradiente 2;2635;51445;5.121974924676839
DF;Gradiente 3;38933;51445;75.67888035766353
DF;Gradiente 4;5596;51445;10.877636310622997
ES;0;3294;14257;23.10443992424774
ES;Gradiente 1;154;14257;1.0801711439994388
ES;Gradiente 2;3196;14257;22.417058287157186
ES;Gradiente 3;5408;14257;37.93224381005822
ES;Gradiente 4;2205;14257;15.466086834537421
GO;0;5204;22411;23.220739815269287
GO;Gradiente 1;576;22411;2.570166436125117
GO;Gradiente 2;4042;22411;18.035785997947436
GO;Gradiente 3;8044;22411;35.8930882156084
GO;Gradiente 4;4545;22411;20.280219535049753
IGNORADO;0;114;355;32.11267605633803
IGNORADO;Gradiente 1;146;355;41.12676056338028
IGNORADO;Gradiente 2;60;355;16.901408450704224
IGNORADO;Gradiente 3;16;355;4.507042253521127
IGNORADO;Gradiente 4;19;355;5.352112676056338
MA;0;1529;6943;22.02218061356762
MA;Gradiente 1;130;6943;1.8723894570070576
MA;Gradiente 2;885;6943;12.74665130347112
MA;Gradiente 3;3432;6943;49.431081664986316
MA;Gradiente 4;967;6943;13.92769696096788
MG;0;15122;74615;20.266702405682505
MG;Gradiente 1;1242;74615;1.6645446626013538
MG;Gradiente 2;12679;74615;16.992561817328955
MG;Gradiente 3;29347;74615;39.33123366615292
MG;Gradiente 4;16225;74615;21.74495744823427
MS;0;2169;7820;27.736572890025574
MS;Gradiente 1;85;7820;1.0869565217391304
MS;Gradiente 2;1116;7820;14.271099744245525
MS;Gradiente 3;3111;7820;39.78260869565217
MS;Gradiente 4;1339;7820;17.122762148337596
MT;0;4332;14154;30.606189063162358
MT;Gradiente 1;234;14154;1.6532428995337005
MT;Gradiente 2;2248;14154;15.882436060477604
MT;Gradiente 3;4630;14154;32.71160096085912
MT;Gradiente 4;2710;14154;19.146531015967216
PA;0;2839;14015;20.25686764181234
PA;Gradiente 1;136;14015;0.9703888690688549
PA;Gradiente 2;1553;14015;11.080984659293613
PA;Gradiente 3;7343;14015;52.3938637174456
PA;Gradiente 4;2144;14015;15.297895112379592
PB;0;1210;5825;20.772532188841204
PB;Gradiente 1;124;5825;2.128755364806867
PB;Gradiente 2;711;5825;12.206008583690988
PB;Gradiente 3;3093;5825;53.09871244635194
PB;Gradiente 4;687;5825;11.793991416309012
PE;0;4561;17651;25.839895756614357
PE;Gradiente 1;459;17651;2.600419239703133
PE;Gradiente 2;2644;17651;14.979321284913036
PE;Gradiente 3;7419;17651;42.031612939776785
PE;Gradiente 4;2568;17651;14.54875077899269
PI;0;574;4876;11.77194421657096
PI;Gradiente 1;301;4876;6.173092698933552
PI;Gradiente 2;692;4876;14.191960623461854
PI;Gradiente 3;2396;4876;49.13863822805578
PI;Gradiente 4;913;4876;18.724364232977848
PR;0;12930;56118;23.040735592857907
PR;Gradiente 1;1089;56118;1.9405538329947611
PR;Gradiente 2;10240;56118;18.247264692255605
PR;Gradiente 3;18360;56118;32.716775366192664
PR;Gradiente 4;13499;56118;24.054670515699062
RJ;0;19834;67705;29.29473451000665
RJ;Gradiente 1;2176;67705;3.2139428402629053
RJ;Gradiente 2;12842;67705;18.967579942397165
RJ;Gradiente 3;21181;67705;31.28424783989366
RJ;Gradiente 4;11672;67705;17.239494867439628
RN;0;915;4952;18.477382875605816
RN;Gradiente 1;107;4952;2.1607431340872374
RN;Gradiente 2;607;4952;12.25767366720517
RN;Gradiente 3;2668;4952;53.87722132471728
RN;Gradiente 4;655;4952;13.226978998384492
RO;0;1515;7139;21.221459588177616
RO;Gradiente 1;125;7139;1.7509455105757108
RO;Gradiente 2;1406;7139;19.694635102955598
RO;Gradiente 3;2320;7139;32.49754867628519
RO;Gradiente 4;1773;7139;24.835411122005883
RR;0;206;837;24.611708482676224
RR;Gradiente 1;10;837;1.1947431302270013
RR;Gradiente 2;79;837;9.438470728793309
RR;Gradiente 3;470;837;56.15292712066906
RR;Gradiente 4;72;837;8.60215053763441
RS;0;10709;54189;19.76231338463526
RS;Gradiente 1;687;54189;1.2677849748103858
RS;Gradiente 2;7697;54189;14.20398973961505
RS;Gradiente 3;24528;54189;45.263798925981284
RS;Gradiente 4;10568;54189;19.502112974958017
SC;0;9642;42488;22.69346639051026
SC;Gradiente 1;609;42488;1.4333458858971944
SC;Gradiente 2;7320;42488;17.228393899453962
SC;Gradiente 3;13780;42488;32.43268687629448
SC;Gradiente 4;11137;42488;26.2121069478441
SE;0;576;4372;13.174748398902103
SE;Gradiente 1;87;4372;1.9899359560841718
SE;Gradiente 2;406;4372;9.28636779505947
SE;Gradiente 3;2480;4372;56.72461116193962
SE;Gradiente 4;823;4372;18.82433668801464
SP;0;82429;374841;21.99039059227779
SP;Gradiente 1;4374;374841;1.166894763379673
SP;Gradiente 2;102252;374841;27.278766196867473
SP;Gradiente 3;83541;374841;22.287049709076648
SP;Gradiente 4;102245;374841;27.276898738398415
TO;0;763;3004;25.39946737683089
TO;Gradiente 1;61;3004;2.030625832223702
TO;Gradiente 2;401;3004;13.348868175765647
TO;Gradiente 3;1439;3004;47.90279627163782
TO;Gradiente 4;340;3004;11.318242343541945
