sigla_uf;Gradiente;Código CBO;Título da Família Ocupacional;total_vinculos_ativos
AC;0;5143;Não mapeado no estudo original;448
AC;0;5174;Não mapeado no estudo original;194
AC;0;3341;Não mapeado no estudo original;167
AC;0;7824;Não mapeado no estudo original;167
AC;0;2532;Não mapeado no estudo original;129
AC;0;1421;Não mapeado no estudo original;79
AC;0;3132;Não mapeado no estudo original;30
AC;0;7832;Não mapeado no estudo original;29
AC;0;4141;Não mapeado no estudo original;23
AC;0;5134;Não mapeado no estudo original;16
AC;Gradiente 1;5211;Caixas, bilheteiros e Operadores do comércio (Balconistas);62
AC;Gradiente 1;7823;Motoristas de veículos de pequeno e médio porte (Táxi);50
AC;Gradiente 1;4211;Caixas, bilheteiros e Operadores do comércio (Balconistas);7
AC;Gradiente 1;4122;Contínuos (Office-boys / Mensageiros);3
AC;Gradiente 2;4101;Supervisores administrativos e de serviços financeiros;63
AC;Gradiente 2;1417;Diretores e Gerentes em instituições de interm. financeira;54
AC;Gradiente 2;3541;Técnicos de vendas especializadas e Rep. comerciais autônomos;35
AC;Gradiente 2;1423;Diretores e Gerentes de comercialização e marketing;16
AC;Gradiente 2;3172;Operadores de monitoração de computadores (Helpdesk);7
AC;Gradiente 2;2521;Administradores e Profissionais de recursos humanos;5
AC;Gradiente 2;4102;Supervisores administrativos e de serviços financeiros;5
AC;Gradiente 2;5201;Supervisores de vendas e de prestação de serviços;4
AC;Gradiente 2;4201;Supervisores de atendimento ao público e de pesquisa;4
AC;Gradiente 2;2524;Administradores e Profissionais de recursos humanos;3
AC;Gradiente 3;4132;Escriturários de serviços bancários (Caixas, compensadores);684
AC;Gradiente 3;4221;Recepcionistas em geral e Operadores de telefonia;43
AC;Gradiente 3;4222;Recepcionistas em geral e Operadores de telefonia;28
AC;Gradiente 3;3517;Técnicos e Corretores de seguros;5
AC;Gradiente 3;3545;Técnicos e Corretores de seguros;4
AC;Gradiente 3;2523;Secretárias executivas e bilíngues;2
AC;Gradiente 4;4110;Agentes, assistentes e auxiliares administrativos;745
AC;Gradiente 4;3532;Técnicos em operações e serviços bancários;17
AC;Gradiente 4;2525;Profissionais de administração econômico-financeira;15
AC;Gradiente 4;2124;Analistas de Tecnologia da Informação (Web e Multimídia);2
AL;0;2532;Não mapeado no estudo original;337
AL;0;1421;Não mapeado no estudo original;267
AL;0;7170;Não mapeado no estudo original;71
AL;0;7825;Não mapeado no estudo original;61
AL;0;7151;Não mapeado no estudo original;46
AL;0;5143;Não mapeado no estudo original;39
AL;0;2142;Não mapeado no estudo original;24
AL;0;1231;Não mapeado no estudo original;14
AL;0;7152;Não mapeado no estudo original;13
AL;0;5199;Não mapeado no estudo original;13
AL;Gradiente 1;5211;Caixas, bilheteiros e Operadores do comércio (Balconistas);50
AL;Gradiente 1;7823;Motoristas de veículos de pequeno e médio porte (Táxi);15
AL;Gradiente 1;4211;Caixas, bilheteiros e Operadores do comércio (Balconistas);10
AL;Gradiente 1;4122;Contínuos (Office-boys / Mensageiros);9
AL;Gradiente 2;1417;Diretores e Gerentes em instituições de interm. financeira;110
AL;Gradiente 2;1423;Diretores e Gerentes de comercialização e marketing;78
AL;Gradiente 2;4101;Supervisores administrativos e de serviços financeiros;72
AL;Gradiente 2;3541;Técnicos de vendas especializadas e Rep. comerciais autônomos;53
AL;Gradiente 2;5241;Vendedores em domicílio;39
AL;Gradiente 2;5201;Supervisores de vendas e de prestação de serviços;22
AL;Gradiente 2;2521;Administradores e Profissionais de recursos humanos;18
AL;Gradiente 2;4142;Apontadores e conferentes;11
AL;Gradiente 2;2524;Administradores e Profissionais de recursos humanos;4
AL;Gradiente 2;4201;Supervisores de atendimento ao público e de pesquisa;4
AL;Gradiente 3;4132;Escriturários de serviços bancários (Caixas, compensadores);2199
AL;Gradiente 3;4221;Recepcionistas em geral e Operadores de telefonia;15
AL;Gradiente 3;3517;Técnicos e Corretores de seguros;14
AL;Gradiente 3;2523;Secretárias executivas e bilíngues;9
AL;Gradiente 3;2522;Economistas, Contadores, Auditores e Peritos contábeis;9
AL;Gradiente 3;3171;Técnicos de desenvolvimento de sistemas e aplicações;3
