Gradiente;Código CBO;total_vinculos_ativos
0;5143;2584166
0;7842;1347462
0;4141;1282761
0;7825;1259406
0;3222;1202811
0;5174;1183918
0;2312;1102968
0;3312;1012985
0;5134;883762
0;5142;838564
Gradiente 1;5211;4299964
Gradiente 1;4211;1086837
Gradiente 1;7823;531451
Gradiente 1;2394;304486
Gradiente 1;4122;105683
Gradiente 1;2515;100098
Gradiente 1;1415;82220
Gradiente 1;4151;19374
Gradiente 1;2618;4033
Gradiente 1;3713;1944
Gradiente 2;1423;636425
Gradiente 2;4101;513572
Gradiente 2;3541;489243
Gradiente 2;2521;345947
Gradiente 2;4142;264418
Gradiente 2;3912;263146
Gradiente 2;1414;248600
Gradiente 2;3911;202061
Gradiente 2;5201;172554
Gradiente 2;2524;136032
Gradiente 3;4221;837693
Gradiente 3;4132;286405
Gradiente 3;3514;209437
Gradiente 3;2522;199268
Gradiente 3;2523;193083
Gradiente 3;2111;111266
Gradiente 3;3171;102240
Gradiente 3;2512;62953
Gradiente 3;4222;51860
Gradiente 3;2123;45547
Gradiente 4;4110;4762237
Gradiente 4;2124;472492
Gradiente 4;4223;462686
Gradiente 4;4131;319518
Gradiente 4;2525;128135
Gradiente 4;3515;62049
Gradiente 4;4121;38101
Gradiente 4;4231;12648
Gradiente 4;3532;10757
