Gradiente;Código CBO;Título da Família Ocupacional;total_vinculos_ativos
0;2532;Profissionais de comercialização e consultoria de serviços bancários;86997
0;1421;Gerentes administrativos, financeiros, de riscos e afins;40388
0;2410;Advogados;7254
0;5143;Trabalhadores nos serviços de manutenção de edificações;6552
0;1231;Diretores administrativos e financeiros;3347
0;2533;Corretores de valores, ativos financeiros, mercadorias e derivativos;3015
0;1422;Gerentes de recursos humanos e de relações do trabalho;2176
0;2142;Engenheiros civis e afins;2163
0;3542;Compradores;2103
0;1210;Diretores gerais;1570
Gradiente 1;5211;Caixas, bilheteiros e Operadores do comércio (Balconistas);10407
Gradiente 1;4211;Caixas, bilheteiros e Operadores do comércio (Balconistas);1771
Gradiente 1;7823;Motoristas de veículos de pequeno e médio porte (Táxi);1296
Gradiente 1;4122;Contínuos (Office-boys / Mensageiros);669
Gradiente 1;2394;Programadores, avaliadores e orientadores de ensino;514
Gradiente 1;1415;Dir. e Gerentes de op. em empresas de turismo/hotelaria;113
Gradiente 1;4151;Auxiliares de serviços de documentação, informação e pesquisa;95
Gradiente 1;2515;Psicólogos e psicanalistas;82
Gradiente 1;2618;Fotógrafos profissionais;15
Gradiente 1;2133;Físicos e Profissionais das ciências atmosféricas/espaciais;7
Gradiente 2;1423;Diretores e Gerentes de comercialização e marketing;55763
Gradiente 2;1417;Diretores e Gerentes em instituições de interm. financeira;29793
Gradiente 2;2521;Administradores e Profissionais de recursos humanos;22729
Gradiente 2;3541;Técnicos de vendas especializadas e Rep. comerciais autônomos;17747
Gradiente 2;4101;Supervisores administrativos e de serviços financeiros;12993
Gradiente 2;2524;Administradores e Profissionais de recursos humanos;7210
Gradiente 2;1425;Diretores e Gerentes de serviços de informática;6636
Gradiente 2;5201;Supervisores de vendas e de prestação de serviços;5204
Gradiente 2;5241;Vendedores em domicílio;5203
Gradiente 2;4102;Supervisores administrativos e de serviços financeiros;3776
Gradiente 3;4132;Escriturários de serviços bancários (Caixas, compensadores);259247
Gradiente 3;3517;Técnicos e Corretores de seguros;15630
Gradiente 3;2522;Economistas, Contadores, Auditores e Peritos contábeis;9042
Gradiente 3;3171;Técnicos de desenvolvimento de sistemas e aplicações;3620
Gradiente 3;2512;Economistas, Contadores, Auditores e Peritos contábeis;3595
Gradiente 3;2123;Engenheiros de computação e Administradores de TI;3554
Gradiente 3;2523;Secretárias executivas e bilíngues;3231
Gradiente 3;2122;Engenheiros de computação e Administradores de TI;2762
Gradiente 3;4221;Recepcionistas em geral e Operadores de telefonia;2583
Gradiente 3;2111;Profissionais da matemática, atuários e estatísticos;1733
Gradiente 4;4110;Agentes, assistentes e auxiliares administrativos;91884
Gradiente 4;2525;Profissionais de administração econômico-financeira;49346
Gradiente 4;2124;Analistas de Tecnologia da Informação (Web e Multimídia);41361
Gradiente 4;3532;Técnicos em operações e serviços bancários;6375
Gradiente 4;4223;Operadores de telemarketing (Ativo, receptivo e técnico);5494
Gradiente 4;4131;Auxiliares de contabilidade, folha de pagamento e faturamento;4265
Gradiente 4;4121;Datilógrafos, digitadores e operadores de transmissão de dados;487
Gradiente 4;3515;Técnicos em secretariado, taquígrafos e estenotipistas;404
Gradiente 4;4231;Despachantes documentalistas e afins;43
