codigo_cbo_4,total_vinculos_ativos
4132,259247
4110,91884
2532,86997
1423,55763
2525,49346
2124,41361
1421,40388
1417,29793
2521,22729
3541,17747
3517,15630
4101,12993
5211,10407
2522,9042
2410,7254
2524,7210
1425,6636
5143,6552
3532,6375
4223,5494
5201,5204
5241,5203
4131,4265
4102,3776
3171,3620
2512,3595
2123,3554
1231,3347
2523,3231
2533,3015
4213,2790
2122,2762
4221,2583
1422,2176
2142,2163
3542,2103
4201,2007
4211,1771
2111,1733
3514,1648
3172,1632
1210,1570
3545,1511
7170,1389
1227,1362
5174,1345
1426,1333
2032,1328
7823,1296
1233,1173
3144,1102
2624,1073
2527,1047
3912,1010
5134,986
1115,974
7152,961
7825,924
2531,920
2141,887
2112,865
8622,847
5199,837
4141,835
2612,782
3513,775
2143,737
3911,710
4122,669
5142,621
3511,615
1424,592
3131,591
5141,560
3516,514
2394,514
8623,511
1427,503
1414,491
4121,487
1412,485
1236,471
2149,467
6210,457
2235,436
3132,427
2153,423
6220,409
3121,407
7151,406
3515,404
3951,404
7827,395
3222,370
7102,352
5121,334
5132,326
6221,316
1114,309
5191,299
4222,298
5173,295
2345,294
7842,293
6410,277
1413,265
9144,251
7824,249
3522,246
1311,240
7155,240
2534,237
8485,227
2332,222
2526,216
2611,215
2031,212
1416,211
7832,209
8601,208
6231,206
5135,199
3341,198
4142,183
2251,181
3421,177
7156,173
5151,168
1232,167
2412,159
3543,155
7311,155
2221,152
3211,150
9999,144
3412,143
1312,139
3714,138
7243,137
2140,133
2516,126
2144,125
3133,125
9511,115
1415,113
3411,108
3548,107
3185,104
9513,104
6201,103
3115,100
4151,95
3311,94
2321,91
8621,89
2312,87
7153,84
3003,83
1237,83
2313,83
5103,82
2515,82
9922,75
7241,75
7244,74
7166,72
3312,72
3547,71
3224,70
3744,70
2237,68
9113,67
1313,63
9101,63
3544,63
5162,62
1411,62
7242,61
8611,61
3123,61
2346,61
5131,59
4152,59
3413,59
7822,58
5101,58
3546,57
5242,57
5112,56
6230,55
9921,55
3143,54
5133,53
1112,52
7632,52
2311,52
3122,52
3423,49
3722,49
9501,49
3011,47
4153,47
7233,46
2134,46
7321,46
2613,46
2711,45
1144,44
9913,44
4231,43
2151,43
1238,43
8483,41
1234,41
2344,40
3117,40
7841,39
5111,39
2545,39
2233,37
6321,36
5243,36
2147,36
3141,36
2241,35
8612,35
3731,35
3425,34
5171,34
1224,33
7831,33
7631,32
4241,31
5165,31
2615,31
8414,30
2234,29
9131,29
8131,29
1223,29
1222,28
2145,27
8211,27
5153,27
3519,26
5163,25
7112,25
3181,25
2232,24
9531,24
7154,24
9102,24
5136,23
2621,23
7711,23
9141,22
2544,21
2331,21
9503,21
6228,21
9112,21
9541,20
9191,20
7212,20
5152,20
3187,19
2343,19
8411,18
8401,18
5193,18
2513,18
3426,18
7735,18
1226,18
8484,17
2021,17
7101,17
3422,17
3751,16
7250,16
8181,16
3134,16
3321,15
3252,15
2211,15
2347,15
3424,15
3111,15
6420,15
7313,15
2618,15
7662,15
3212,15
3184,14
2616,14
3742,13
2543,13
7523,13
3331,13
1221,13
3523,13
3741,13
7612,12
3161,12
6225,12
7301,12
7111,12
7214,12
2148,12
3518,12
7741,12
3188,12
6301,11
7630,11
7821,11
7610,11
3186,11
6226,11
5231,10
3732,10
2348,10
8281,10
7165,10
8233,10
7245,9
9111,9
7640,9
2035,9
7606,8
2033,8
7661,8
7257,8
3721,8
2132,8
7643,8
8625,8
2146,8
7734,8
7164,8
1418,7
2614,7
9192,7
2429,7
8117,7
2212,7
3227,7
3163,7
2133,7
7254,6
7651,6
7603,6
7721,6
3221,6
8214,6
7211,6
7623,6
2511,6
2252,6
7731,5
9151,5
2424,5
7733,5
4212,5
7161,5
7633,5
6110,5
7663,5
3524,5
6233,5
8115,5
2034,5
2627,4
7201,4
3146,4
3148,4
2622,4
1225,4
7221,4
7652,4
8481,4
7601,4
7157,4
2623,4
2236,4
7223,4
2413,4
6430,4
8213,4
3213,4
8202,3
3180,3
2617,3
5164,3
7813,3
3242,3
3142,3
7213,3
7255,3
8415,3
8413,3
7613,3
3001,3
7614,3
2629,3
7252,3
2238,3
8212,3
1142,3
7163,3
7701,2
3251,2
7121,2
6313,2
8101,2
8418,2
7122,2
7604,2
7654,2
9542,2
8301,2
7251,2
3713,2
5166,2
8118,2
3182,2
3241,2
2222,2
7828,2
7113,2
7618,2
2030,2
6120,2
2342,2
7202,2
2239,2
8232,2
2341,2
2626,1
4242,1
7622,1
2131,1
3112,1
5161,1
9143,1
2631,1
8416,1
7232,1
7312,1
3763,1
7641,1
2012,1
8417,1
5115,1
8110,1
2422,1
6323,1
8111,1
6326,1
2628,1
3711,1
3322,1
2253,1
7421,1
2152,1
7411,1
9153,1
5192,1
8624,1
2392,1
9142,1
9502,1
7751,1
7686,1
3183,1
6223,1
1141,1
7114,1
9543,1
