sigla_uf,codigo_cbo_4,total_vinculos_ativos
RS,4110,6859
RJ,4110,6459
AC,1421,79
MG,1417,3167
SC,2124,844
SC,1417,1985
ES,4201,6
SP,2522,4467
MG,2124,2554
BA,5241,147
RS,2522,371
BA,1417,862
PR,1425,171
CE,4102,55
BA,1423,761
SP,1236,374
RJ,2032,368
MG,2141,77
PA,2153,4
SP,1223,22
BA,5211,450
MG,5211,887
SP,4223,2704
RS,3172,129
PR,4221,168
MG,4223,217
SC,5211,428
RJ,8622,846
SC,1421,1376
MS,5241,25
RR,2532,107
MG,1236,13
GO,5201,146
AL,4110,352
MG,4131,431
MG,4211,168
RJ,7153,6
SP,2531,536
RJ,7151,59
ES,9921,16
BA,3532,152
PR,3912,81
RJ,4131,357
BA,2124,69
GO,6201,1
AP,3542,7
RS,6210,19
PB,1417,173
GO,3532,313
MG,4101,1137
CE,3172,35
AM,2532,568
SP,2235,241
SP,2545,39
PA,4101,202
SP,3252,10
SP,8612,19
BA,1422,20
RS,3542,77
RS,3543,21
MG,2122,108
SC,2123,122
SE,2124,207
BA,2142,87
SP,2332,126
RJ,2251,21
RS,7641,1
SP,8485,51
RS,3132,11
RO,5199,1
PB,3517,39
RS,7156,16
SP,3511,277
SP,1237,62
RR,2142,5
PA,5211,77
IGNORADO,4211,39
IGNORADO,5143,17
AM,7152,4
SP,2233,7
MG,4222,23
MG,3514,95
PE,7170,55
PR,2031,7
MG,5134,30
RJ,9113,32
TO,4141,5
RJ,7155,29
MT,3532,192
MA,4213,17
ES,5211,117
RJ,2534,22
SP,6221,2
AM,2235,3
SP,6231,22
RO,4131,64
CE,8611,17
RS,2123,66
MG,2534,19
DF,3542,18
RJ,3412,118
MT,2221,9
RJ,1414,102
MS,1425,5
RS,1415,5
SP,4121,33
MG,3224,4
PR,2347,14
MG,2142,168
SC,2624,58
DF,4131,122
PA,6228,21
CE,5121,20
SC,7825,26
PE,5241,96
DF,5151,9
TO,5174,12
RS,9113,2
RS,4141,20
DF,3545,28
PE,3172,21
PR,3515,23
MA,6410,7
MG,3115,8
MG,2237,4
PE,2123,32
PI,5201,52
TO,5201,14
SP,3144,65
RJ,2145,8
AP,4101,17
BA,6225,10
CE,1233,7
SE,7632,28
PA,1425,24
DF,9999,7
TO,5211,30
SE,4102,9
SP,1112,13
SE,2523,8
RJ,2321,19
PA,7823,18
PE,6221,21
MG,3132,33
PR,7156,11
AL,2524,4
GO,4151,3
PR,2394,154
PR,7823,43
SC,3912,24
RO,2124,84
PR,3951,6
PA,2516,3
PR,7842,11
SC,7156,2
RJ,1312,20
DF,7170,65
PR,3121,21
SP,3722,29
SC,5135,6
MA,2124,7
BA,8621,13
MG,7241,20
MT,7741,5
SC,8214,1
RS,5173,9
GO,3312,49
PI,2124,41
RJ,9501,22
PR,2122,13
DF,3161,4
MG,9113,6
RJ,3134,2
PE,1311,9
PI,3132,14
TO,5134,2
RJ,7156,12
GO,7151,7
RS,5131,17
IGNORADO,2532,12
MG,2144,7
AM,1414,9
SC,1418,2
MG,2021,1
RJ,4151,22
RN,9144,1
MT,3731,3
RN,6210,11
SE,4221,20
RO,6210,3
RN,4131,11
BA,2524,38
DF,3514,8
MG,7630,1
ES,1425,29
SE,2142,14
CE,3545,32
RJ,3133,11
MT,7842,11
PI,3172,23
IGNORADO,5191,9
GO,3744,10
SP,2238,1
SP,8621,12
ES,5163,2
SE,3545,2
AC,6230,6
RJ,3252,2
PR,1237,1
MG,8621,45
SC,9101,3
MT,2512,26
MA,3421,2
RN,3912,1
AP,2522,4
SP,2147,13
DF,5173,11
SP,7252,2
SE,7631,5
MS,5162,1
PR,5173,16
PA,2394,5
DF,8401,2
SE,2524,4
RN,4102,9
TO,2527,3
SP,3425,25
PE,3011,3
MG,8415,2
MG,8214,2
SC,2122,18
SE,7313,5
PI,7827,4
RJ,3548,12
TO,3912,2
SP,8413,3
RR,2410,3
AM,7823,11
AP,5241,4
GO,3131,19
SP,7214,11
RS,2311,14
MG,9999,2
BA,9151,1
DF,3172,19
PR,9144,1
PA,2515,7
CE,5171,5
GO,3912,30
SP,7154,2
SC,6420,9
MG,3181,3
ES,1422,12
RS,6220,20
RN,8485,5
SP,3161,4
SC,2527,9
SP,2621,8
AL,3513,1
PA,3513,20
GO,9141,1
AP,5201,8
AC,5141,5
SP,7157,1
MG,7153,14
SP,2543,7
GO,8414,1
MS,3411,1
MG,1234,8
MA,2123,4
MA,1414,1
SE,3184,1
SP,3143,5
MG,9503,1
RN,5136,4
GO,9131,1
GO,3951,1
PB,3516,3
ES,2149,2
RO,1210,4
PA,3172,7
RO,9191,7
PB,1233,3
PB,7244,4
ES,7252,1
RS,5132,14
PR,2143,4
CE,2526,4
GO,7824,1
ES,7257,3
SP,7101,5
PE,3185,6
PR,2711,3
MT,2140,1
TO,1210,2
AL,7631,2
CE,3751,1
IGNORADO,3713,2
SC,2543,1
PI,3412,1
MT,7735,6
PA,8202,1
MT,3421,6
AC,2142,4
RO,9913,2
RO,4201,3
PB,3411,2
AM,4201,4
CE,7241,2
RN,4213,5
ES,3522,5
RS,2611,8
ES,3121,3
TO,5241,2
SP,9192,6
MG,5193,1
CE,9513,1
BA,1210,10
SP,7523,2
SP,3424,4
PR,3222,8
SP,8233,4
MT,7831,1
BA,9922,7
TO,6231,6
CE,1412,6
RR,1210,1
RJ,6410,6
PE,3522,4
ES,3123,2
MS,1411,5
SC,7313,1
PE,2212,1
SE,7152,3
RN,7102,2
GO,5163,3
TO,3123,1
SC,7841,4
AM,7822,1
PA,1237,1
PI,7156,1
DF,2112,2
RR,4211,3
DF,7663,1
MG,3341,3
GO,3425,3
RN,2531,4
SP,2629,2
CE,7711,2
MG,7201,2
PI,7170,3
PE,3751,2
DF,7102,6
GO,2235,1
PB,2516,4
PR,3425,1
AP,1425,6
AL,5134,2
RJ,4231,2
ES,7821,1
RN,3132,2
PR,6230,2
PI,7311,1
BA,2221,2
CE,7154,1
PR,9501,1
SC,7233,1
RN,7154,4
MT,2533,1
MT,7243,2
PA,1414,4
RJ,2623,1
SP,9191,1
RO,1236,1
SP,6225,2
BA,3132,4
RS,2392,1
AP,7102,1
RR,2124,2
GO,2394,3
BA,2394,3
RJ,3185,2
CE,7842,2
MG,9191,1
RJ,8213,2
RO,6201,1
PA,1114,1
BA,4231,6
IGNORADO,2624,1
RJ,3722,1
PE,5103,1
RO,7153,1
PE,2394,1
PR,5131,1
TO,2151,1
SP,2131,1
PR,2021,1
MT,2332,1
BA,7121,1
ES,3312,2
PE,7827,1
SC,1312,2
MS,2624,2
PB,2234,1
ES,1411,1
CE,1415,1
CE,2221,1
SC,7112,1
AL,3544,1
RR,9111,1
AL,8485,1
RR,6410,1
PR,1232,1
BA,2613,1
RS,1238,1
AC,7151,1
PE,9913,1
ES,9112,1
RJ,7633,1
PR,9191,1
RN,3423,1
PA,2612,1
SE,1412,1
AM,1427,1
SC,7155,1
RO,7243,1
PA,7822,1
PA,7824,1
TO,1221,2
RS,7250,1
MG,1418,1
IGNORADO,5201,1
PB,3911,1
MG,7662,1
SC,1224,1
DF,5136,1
SC,9503,1
SE,9922,1
MG,4110,9214
GO,4110,2836
SC,5143,415
SP,2142,718
SP,1425,5185
SP,1421,19221
MG,2523,332
BA,3513,31
AM,4101,114
ES,4132,4797
RJ,5241,532
MG,3532,612
SC,1423,1347
RN,4132,2559
PB,1421,422
RS,2410,183
GO,2532,2201
RJ,3517,1370
MG,1233,85
PR,2524,457
DF,3131,13
SC,2142,53
AP,4132,505
RJ,2522,1049
RS,1210,216
DF,1231,110
PR,4110,8240
BA,5143,126
PI,4223,313
PB,3541,89
PI,5211,228
BA,7823,24
MS,3517,85
GO,5143,357
RS,2524,300
ES,4221,29
DF,4211,26
RJ,5143,572
RO,1423,238
SC,3117,1
PR,5143,285
CE,4213,69
DF,3132,22
PR,4131,233
ES,9913,10
ES,3516,8
RO,3517,178
RR,3541,9
DF,5241,117
RS,4213,271
AL,2525,49
GO,2521,276
RJ,4201,171
AP,4110,82
PE,3532,95
SP,3542,1094
SP,1144,7
PA,2521,142
AL,3542,3
RJ,3132,116
SC,2512,44
PE,2523,38
SP,7155,41
MT,2612,19
SP,1414,143
MA,1114,118
AL,1421,267
AL,7151,46
SP,3516,229
PI,2532,203
AM,3541,83
MG,1416,6
SC,5201,209
PR,3511,214
SP,1115,161
PR,7832,15
PR,7825,62
PI,3411,2
GO,1233,29
SP,2412,27
BA,4223,52
MT,3545,24
PA,6231,6
TO,4221,9
RO,4211,54
MT,6410,22
PB,4221,14
SP,4151,41
SP,3544,28
DF,4201,34
PR,3911,21
RO,5211,62
PE,3421,8
MG,7831,5
RJ,3511,20
PR,3514,58
SP,6410,71
RJ,4102,208
PB,2525,51
MT,3188,10
RS,2512,102
PA,3532,67
PI,1421,161
DF,3516,19
PE,1424,17
PI,1417,80
CE,7601,2
ES,2123,20
SP,7301,2
SP,6230,14
BA,4141,22
RS,7623,5
PI,9111,1
CE,4122,23
DF,2251,33
MT,2531,8
MG,8181,5
AP,7823,4
RS,1414,14
RO,2522,68
SP,4142,23
RJ,5133,8
IGNORADO,4110,19
RJ,3911,71
MG,1414,37
RS,2112,19
PR,8625,1
SP,3519,26
AM,2525,66
PA,5201,40
SP,7242,37
RJ,8485,98
GO,1231,48
RJ,3547,1
PI,3911,18
PE,5191,21
SP,8212,1
RN,7825,16
PR,9999,22
CE,3912,9
RJ,2311,11
GO,3171,19
CE,2251,2
SC,1115,10
RJ,9541,5
MT,2142,37
SC,1426,18
RS,3171,104
SP,1313,21
AL,5211,50
RN,4122,8
CE,5142,8
PA,3912,2
GO,5135,6
MG,5132,33
BA,7152,58
SC,3011,1
RJ,8621,8
PR,2611,11
DF,2612,10
MG,1411,6
RO,5201,20
RJ,1424,45
RS,7321,5
RS,9141,1
ES,1426,7
PA,5121,2
AM,3421,3
RR,5132,1
RJ,2617,2
RS,3511,21
MG,5173,5
TO,1422,10
PE,1312,1
AC,2521,5
MT,7233,1
DF,1427,10
PR,2332,12
PR,4211,36
PI,2525,62
AL,5201,22
PI,4131,20
BA,2624,6
PR,3185,4
MT,1414,6
MG,2234,12
BA,2251,5
MG,3141,6
MT,1424,8
RS,1236,4
CE,7221,3
CE,7156,3
CE,5134,34
TO,7153,1
RJ,9102,2
AL,7154,1
MT,2331,1
RS,9513,6
MT,3211,3
CE,1232,2
BA,5199,8
SP,7632,12
RO,4213,32
PB,3121,6
RS,7825,37
RJ,9101,7
SC,1413,4
GO,2527,14
CE,2534,7
ES,2533,5
AL,7153,10
MT,3121,10
MT,3951,1
AC,1416,1
DF,3133,9
RO,2141,3
MA,1236,1
PA,1222,3
MG,5171,3
SP,7828,1
MT,9101,2
PE,2153,3
SP,2544,15
MG,5103,12
RJ,8211,2
PE,3213,4
MG,2412,11
CE,7613,3
BA,3133,3
RS,3741,4
PA,6201,1
ES,3515,7
RJ,3111,2
AL,2523,9
MG,6301,2
BA,5134,12
SP,7741,6
RS,3211,9
PR,7827,7
SP,7212,8
MG,8483,1
