sigla_uf,codigo_cbo_4,total_vinculos_ativos
AC,354120,211
AC,514120,1468
AC,234505,1344
AC,221105,153
AC,517210,106
AC,111325,84
AC,411020,1100
AC,334115,1036
AC,784205,2451
AC,317110,67
AC,414110,1069
AC,252305,904
AC,715505,323
AC,421105,536
AC,422305,27
AC,232145,153
AC,513430,47
AC,351305,1595
AC,414205,275
AC,324205,480
AC,334105,124
AC,818110,25
AC,514205,237
AC,521120,43
AC,519935,192
AC,234520,46
AC,142115,222
AC,715125,210
AC,141410,79
AC,251120,20
AC,914415,96
AC,253115,13
AC,422210,24
AC,413115,143
AC,253140,12
AC,414115,47
AC,410240,51
AC,325105,191
AC,253210,8
AC,141615,136
AC,773510,8
AC,111405,81
AC,213205,10
AC,111225,30
AC,515320,104
AC,141115,95
AC,271105,84
AC,142335,74
AC,141420,74
AC,314310,8
AC,263105,4
AC,141710,74
AC,517405,14
AC,423110,17
AC,715305,59
AC,300305,11
AC,121010,105
AC,516205,10
AC,762340,8
AC,261215,4
AC,721405,5
AC,766120,19
AC,313215,64
AC,862110,17
AC,225225,10
AC,253305,12
AC,234705,11
AC,372205,13
AC,766155,4
AC,782130,4
AC,318705,6
AC,239225,10
AC,225124,80
AC,342310,6
AC,783110,8
AC,320110,5
AC,782810,13
AC,782715,11
AC,141110,17
AC,523105,4
AC,374120,3
AC,225285,4
AC,375110,8
AC,773415,12
AC,225275,7
AC,766215,3
AC,373145,8
AC,760605,4
AC,760305,11
AC,715410,10
AC,122115,2
AC,775115,6
AC,766405,5
AC,731165,5
AC,354505,8
AC,223635,2
AC,263110,9
AC,223425,6
AC,919305,3
AC,251225,7
AC,519930,2
AC,811820,1
AC,731120,7
AC,122505,2
AC,766225,2
AC,261130,1
AC,214215,10
AC,622320,4
AC,313110,4
AC,811010,1
AC,223276,5
AC,212210,1
AC,766220,1
AC,241330,1
AC,862505,1
AC,841615,1
AC,766230,4
AC,342510,2
AC,262605,4
AC,716105,2
AC,717005,1
AC,111240,1
AC,252710,3
AC,712220,2
AC,225220,3
AC,318110,1
AC,313210,1
AC,411035,1
AC,251610,1
AC,421210,1
AC,711310,1
AC,241015,1
AC,214255,2
AC,412115,1
AC,521110,10657
AC,911305,252
AC,514310,626
AC,351430,523
AC,517205,131
AC,123110,53
AC,632410,141
AC,354145,500
AC,422310,2903
AC,252105,836
AC,715210,1569
AC,911110,10
AC,391115,27
AC,711305,7
AC,420125,91
AC,322205,3134
AC,231110,97
AC,142320,418
AC,254415,2
AC,232150,16
AC,412105,361
AC,239415,92
