codigo_cbo_4,total_vinculos_ativos
4110,4762237
5211,4299964
5143,2584166
7842,1347462
4141,1282761
7825,1259406
3222,1202811
5174,1183918
2312,1102968
4211,1086837
3312,1012985
5134,883762
5142,838564
4221,837693
5173,785821
7170,714185
7832,697856
1114,691063
1423,636425
5132,631322
5135,557111
3311,532712
7823,531451
4101,513572
3541,489243
2124,472492
2235,466430
2321,466014
8485,464409
4223,462686
1421,460858
7152,453709
5151,413782
6210,382447
7824,377086
2345,356058
5141,345957
2521,345947
4131,319518
1031,306265
2394,304486
9144,301151
2313,291481
6410,290778
4132,286405
2311,285024
6220,281812
4142,264418
3912,263146
8621,262101
3341,256919
7632,249219
1414,248600
7841,245408
9113,244628
2251,243512
7243,229386
7151,216613
3514,209437
7822,207106
3911,202061
2522,199268
8483,196902
2234,196552
2523,193083
5172,190117
5201,172554
7321,168059
7212,167723
7155,162111
5191,159305
7156,156317
5199,152427
9922,150061
7244,147433
5162,141553
6221,138198
7102,136484
2524,136032
7311,130819
3132,129186
3516,128664
2121,128262
3224,128159
2410,128158
2525,128135
3522,125181
3331,125160
4102,123817
7242,122091
6231,121431
3131,121245
2120,119607
3172,119154
5152,112256
9511,111743
2111,111266
2532,110411
2516,109136
5153,108885
3542,108162
3421,107153
5133,105975
4122,105683
7241,102471
3171,102240
7631,100232
2241,100123
2515,100098
1412,92726
7166,91958
4201,91925
5112,91519
2236,90993
8117,90726
7640,88480
6225,88178
7233,86450
5163,85478
4213,85380
7711,85014
1425,83233
3141,82582
1415,82220
8131,80829
3241,76562
2142,74773
1030,73706
2232,72568
4152,71809
7153,71189
3121,70537
7741,69752
5136,68635
1231,68404
6233,68230
8414,68135
2237,66987
2392,66899
3133,65568
3714,63839
2331,63834
2512,62953
3242,62784
2346,62142
3515,62049
6321,60270
1422,59789
2332,57300
3518,57271
3513,56824
7214,56710
2527,56456
7821,56103
3011,54961
8214,54842
3423,53939
2149,53913
6201,53196
1416,52891
1313,51887
4222,51860
9513,51624
5171,51390
5241,50954
9131,50623
2624,50372
7662,48852
5101,48751
7245,48391
3211,47663
8418,47282
9921,46339
7252,45901
2123,45547
6230,45546
3144,45460
7255,45296
3517,44845
3111,44627
1021,44056
7641,43993
9913,43596
7663,41212
7112,40485
2531,40336
3548,40151
5193,40062
7313,39512
7251,38764
2544,38205
7633,38189
4121,38101
9101,37896
1427,37482
7630,36945
2611,36859
7610,35917
9112,34841
1417,34818
8401,34611
3251,34278
7250,34241
2143,34154
9531,34067
3425,33491
1424,33466
1312,33443
2711,33429
2233,32988
8281,32749
7642,32690
2344,32545
7165,31914
7613,31705
2144,31640
8181,31495
7154,31434
2612,30999
2212,30629
7523,30004
9191,29990
8623,29951
1210,29719
7731,29164
5121,29164
2252,29055
8233,28617
2412,28265
9541,27695
8118,27693
7163,27397
7733,27279
7122,26912
7164,25947
7222,25936
9501,25845
3511,25670
7827,25464
7211,25246
8415,25110
3003,25035
2221,24878
7111,24780
8622,24383
3123,24139
1426,24022
3951,24002
5231,23812
6420,23446
7618,22846
3543,22757
1411,22051
2122,21805
2032,21778
3117,21645
5103,21611
2238,21436
3321,21323
6232,21051
7257,21048
6226,21043
5192,20682
7652,20649
7201,20557
4212,20430
7202,20363
8321,20350
3185,20334
1112,20217
1113,20089
3313,20042
3186,20029
2041,19778
8212,19661
2141,19570
4151,19374
7661,18862
9111,18856
3221,18675
7213,18563
5161,18336
3252,18055
5165,18034
7157,17892
3134,17885
7614,17764
2347,17622
1311,17377
3731,17310
1115,17155
3188,16502
8111,16321
1233,16211
8601,16082
2541,16011
6224,15974
9999,15847
5111,15594
3523,15431
7831,15236
3722,15170
2534,15128
1413,15101
7113,15098
7643,15042
3115,15021
2110,14822
7223,14812
2348,14486
7612,14437
2617,14338
2543,14309
3771,14283
8331,14242
2422,14215
3744,14181
7683,14130
7603,14012
9102,13774
2031,13576
7232,13563
8413,13430
2423,13269
1020,13266
8481,13222
8113,13039
7601,13032
7721,13032
9192,13015
4231,12648
6227,12529
7826,12296
3711,12219
3180,12218
7301,12198
2030,11942
2211,11891
3143,11756
8213,11730
3122,11706
4241,11642
7701,11517
3741,11205
3751,11131
6223,11074
2239,11060
9503,10989
2153,10982
7121,10960
3532,10757
6326,10508
3424,10499
9911,10295
5131,10089
2033,9779
3001,9748
2145,9723
8110,9592
2545,9564
3184,9406
8102,9294
5166,9171
2021,9110
2011,8884
3114,8844
7411,8813
2020,8813
6430,8776
8484,8740
8411,8720
7604,8531
3212,8480
7101,8364
2151,8356
7734,8289
8101,8270
3120,8236
2621,8131
3135,8049
2614,8034
9141,8015
3163,8008
9153,7983
2424,7958
6301,7917
9193,7774
2140,7760
7522,7706
8232,7681
8114,7632
6322,7566
3412,7504
7620,7387
8611,7271
8417,7221
7254,7220
7224,7167
3148,7120
2132,7033
3721,6983
5164,6829
2147,6811
7221,6713
3110,6707
7801,6632
8625,6617
7253,6600
2343,6463
2112,6389
2627,6375
9143,6220
7511,6191
8482,6142
3181,6079
2613,6037
2628,5991
2134,5902
8202,5726
3142,5688
3187,5503
8116,5427
2349,5415
6313,5310
3322,5291
5243,5243
7623,5242
2341,5053
3426,4854
6320,4828
8221,4808
5102,4739
7751,4695
9151,4685
7735,4677
7651,4653
8421,4580
2034,4573
5242,4540
3226,4505
3732,4503
3422,4466
7606,4419
3413,4369
3544,4349
2253,4289
8231,4263
8211,4245
2413,4170
1236,4167
2533,4141
7231,4140
3547,4124
2618,4033
7813,3994
2626,3938
6312,3893
2152,3891
1142,3877
7161,3871
2526,3761
3546,3711
7653,3675
7654,3641
2035,3625
7312,3597
8624,3563
8201,3548
1232,3526
3250,3495
3146,3472
2631,3438
3411,3404
3223,3364
7605,3341
7664,3318
6133,3297
8311,3217
7622,3177
2146,3170
6110,3101
6120,3093
7510,3008
2616,2969
3182,2893
8103,2874
7811,2844
8301,2818
9542,2792
7524,2779
7828,2740
4153,2727
1141,2699
1227,2686
7817,2626
7911,2625
2615,2586
8612,2517
3030,2497
8332,2418
7764,2418
1226,2347
7256,2337
1111,2255
7732,2248
2623,2237
8416,2155
3147,2134
7686,2063
1224,1995
3742,1989
8121,1967
3020,1964
8115,1962
7681,1958
3713,1944
2511,1942
1234,1936
2010,1929
1222,1901
3281,1899
2513,1891
1237,1837
8412,1797
3161,1797
7621,1774
3227,1774
7682,1767
1223,1765
3545,1764
3763,1751
9543,1719
1238,1712
9502,1629
2622,1625
8112,1622
9109,1605
3116,1527
6131,1414
2342,1397
3225,1395
1225,1346
7162,1340
7650,1306
9912,1299
2429,1254
2012,1253
9142,1231
7687,1225
7502,1182
2222,1163
5114,1127
3231,1098
2131,1073
3112,1072
7521,1057
2148,992
1418,971
3113,970
3010,954
6324,911
3201,882
3253,882
7611,872
6234,858
7114,843
1144,820
2414,802
3191,783
3524,768
3183,757
8486,736
1221,715
7246,706
7772,685
3519,681
3743,676
6125,667
7401,649
3192,635
2263,624
6323,597
6228,581
3772,571
2629,549
3213,520
6130,511
6121,507
7421,503
6132,498
6123,485
4242,473
2625,466
6222,458
6314,455
3712,437
6325,416
5115,413
1143,386
1010,361
7771,356
6124,350
2133,341
3762,320
8422,306
7501,274
3012,272
7602,263
6310,261
1011,254
1130,246
3761,245
2542,236
9152,225
6134,164
3764,152
2619,151
6311,100
9154,75
6127,66
6126,60
5169,60
6128,30
2514,20
5168,20
2261,17
6122,5
5198,2
5167,1
